directory;filename;severity;errorType;errorMessage
"/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/derivatives/A64_42";"A-Gf_A64_42-168r .TIF";"ERROR";"Invalid filename";""
"/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/derivatives/A67_18";"A-Gf_A67_18-II+r.TIF";"ERROR";"Invalid filename";""
"/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/derivatives/A67_18";"A-Gf_A67_18-II+v.TIF";"ERROR";"Invalid filename";""
"/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/derivatives/A67_18";"A-Gf_A67_18-I+r.TIF";"ERROR";"Invalid filename";""
"/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/derivatives/A67_18";"A-Gf_A67_18-I+v.TIF";"ERROR";"Invalid filename";""
"/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/derivatives/A67_21";"A-Gf_A67_21-136v.TIF";"ERROR";"Corrupted image";""
"/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/derivatives/A67_41";"A-Gf_A67_41-a003r.TIF";"ERROR";"Duplicated file";"Same hash as derivatives/A67_41/A-Gf_A67_41-a003v.TIF"
"/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/derivatives/S1_20";"A-Gf_S1_20-258.TIF";"ERROR";"Corrupted image";""
"/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/derivatives/S1_25";"v.tif";"ERROR";"Invalid filename";""
"/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/derivatives/S1_30";"v.tif";"ERROR";"Invalid filename";""
"/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/derivatives/S1_65";"A-Gf_S1_65-001.TIF.TIF";"ERROR";"Invalid filename";""
"/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/masters/A64_42";"A-Gf_A64_42-168r .TIF";"ERROR";"Invalid filename";""
"/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/masters/A64_42";"A-Gf_A64_42-167r.TIF";"ERROR";"Duplicated file";"Same hash as masters/A64_42/A-Gf_A64_42-168r .TIF"
"/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/masters/A67_18";"A-Gf_A67_18-II+r.TIF";"ERROR";"Invalid filename";""
"/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/masters/A67_18";"A-Gf_A67_18-I+r.TIF";"ERROR";"Invalid filename";""
"/mnt/acdh_resources/container/R_OFM_Graz_22035/to_ingest/masters/A67_18";"A-Gf_A67_18-II+v.TIF";"ERROR";"Invalid filename";""
