Signatur,Buchtyp,Liturgie,Provenienz,Drucker,Zeit,Inhalt,Umfang fol.,Format,Gerät,Bilder,Entwickeln,Zuschneiden,Transkribus,Fotograf
A 63/51,"Graduale, Sequentiar",OFM,"Graz, Ljubljana",,1517,,272,535x370,Stativlaser,549,ok,ok,ok,RK
A 64/34,Graduale,OFM,Maria Lankowitz,,14-2/4,"Temporale, Sanctorale, Marienmessen, Kyriale, Sequenzen",185,420*310,Stativlaser,413,ok,ok,ok,RK
A 64/37,Psalterium / Hymnar,OFM,"Graz, Ljubljana, Maria Lankowitz",,~1492,"Psalter mit Ferialhymnen, Hymnen Advent bis Pfingsten",178,620x400,Stativlaser,361,ok,ok,ok,RK
A 64/38,Graduale,OFM,"Graz, Ljubljana",,~1492,"Kyriale, Heiligenmessen",185,580x390,Stativlaser,375,ok,ok,ok,RK
A 64/39,"Graduale, Temporale",OFM,"Graz, Ljubljana",,~1492,Fol. 18r Wappen,262,580x390,Stativlaser,537,ok,ok,ok,RK
A 64/40,"Antiphonale, Sommerteil",OFM,"Graz, Ljubljana",,~1492,,261,570x390,Stativlaser,529,ok,ok,ok,RK
A 64/41,"Antiphonale, Winterteil",OFM,"Graz, Ljubljana",,~1492,,256,550x380,Stativlaser,519,ok,ok,ok,RK
A 64/42,"Antiphonale, Diurnale",OFM,"Graz, Ljubljana",,1492,"Auch Psalterium, Hymnar",168,540x380,Stativlaser,341,ok,ok,ok,RK
A 64/43,"Antiphonale, Nocturnale",OFM,"Graz, Ljubljana",,~1492,"Matutin mit Hymnar, Psalterium",242,520x380,Stativlaser,493,ok,ok,ok,RK
A 67/17,"Antiphonale, Passions- und Osterzeit",OSC,"München?, Graz",,15-2,"Temporale: Passionssonntag bis Sonntag in der Himmelfahrtsoktav, Sanctorale: Annuntiatio bis Inventio crucis",237,200x160,Traveller,489,ok,ok,ok,JL
A 67/18,"Antiphonale, Sommerteil",OSC,"München?, Graz",,15-2,Temporale und Sanctorale ab September,196,205x160,Traveller,409,ok,ok,ok,JL
A 67/19,"Graduale, Teil 1",OSC,"München?, Graz",,15-2,,197,210x160,Traveller,427,ok,ok,ok,JL
A 67/20,"Graduale, Teil 2",OSC,"München?, Graz",,15-2,,149,210x160,Traveller,305,ok,ok,ok,JL
A 67/21,"Graduale, Teil 3",OSC,"München?, Graz",,15-2,,149,210x160,Traveller,301,ok,ok,ok,JL
A 67/22,"Graduale, Teil 4",OSC,"München?, Graz",,15-2,,136,210x160,Traveller,285,ok,ok,ok,JL
A 67/23,Prozessionale,OSC,"München?, Graz?",,16x,"Palmsonntag, Maria Lichtmess",17,220x160,Traveller,39,ok,ok,ok,JL
A 67/27,Antiphonale,OSC,"München?, Graz",,16-2/4,„Pro divino officio in choro“,177,230x160,Traveller,363,ok,ok,ok,JL
A 67/41,Responsoriale,OFM,Graz,,1636,„Das 4. Respons Buch: Ostern bis 1. August“,205,210x140,Traveller,435,ok,ok,ok,JL
A 67/42,Responsoriale,OFM,Graz,,1636,„Das 4. Respons Buch: Ostern bis 1. August“,182,210x140,Traveller,387,ok,ok,ok,JL
A 67/43,Responsoriale,OFM,Graz,,1636,Ab Fronleichnam,209,210x140,Traveller,433,ok,ok,ok,JL
A 67/44,Prozessionale,OFM,St. Pölten,,16,,144,140x200,Traveller,287,ok,ok,ok,JL
